iter	Passed	Remaining
0	2	2253
1	4	2158
2	6	2165
3	9	2263
4	14	2868
5	15	2641
6	17	2441
7	18	2336
8	21	2340
9	25	2548
10	28	2595
11	30	2533
12	32	2452
13	33	2359
14	35	2310
15	36	2255
16	38	2197
17	39	2152
18	41	2122
19	42	2090
20	44	2059
21	46	2045
22	47	2014
23	49	2006
24	51	2007
25	53	2015
26	55	2000
27	57	2012
28	60	2009
29	61	1989
30	63	1972
31	64	1963
32	66	1942
33	67	1928
34	69	1917
35	71	1924
36	74	1929
37	75	1921
38	77	1920
39	80	1937
40	87	2044
41	89	2043
42	91	2031
43	93	2022
44	94	2015
45	96	2003
46	98	2003
47	100	1997
48	103	2010
49	106	2024
50	108	2023
51	111	2029
52	113	2026
53	115	2018
54	118	2028
55	120	2035
56	122	2026
57	127	2068
58	130	2079
59	132	2071
60	134	2064
61	136	2062
62	138	2053
63	139	2046
64	142	2049
65	144	2040
66	145	2029
67	147	2025
68	149	2011
69	151	2018
70	153	2013
71	155	2003
72	156	1993
73	158	1984
74	160	1973
75	161	1965
76	163	1957
77	164	1949
78	166	1941
79	168	1935
80	169	1928
81	172	1931
82	174	1926
83	175	1917
84	177	1911
85	179	1903
86	180	1894
87	182	1886
88	183	1879
89	185	1873
90	187	1869
91	188	1861
92	190	1854
93	191	1848
94	193	1839
95	194	1835
96	196	1829
97	198	1823
98	199	1816
99	201	1811
100	203	1808
101	204	1803
102	206	1799
103	208	1792
104	210	1790
105	211	1786
106	213	1782
107	215	1776
108	216	1773
109	218	1769
110	220	1765
111	221	1759
112	223	1754
113	224	1748
114	226	1744
115	228	1738
116	229	1734
117	231	1730
118	233	1727
119	235	1723
120	236	1719
121	238	1715
122	240	1713
123	242	1709
124	243	1704
125	244	1698
126	245	1690
127	247	1686
128	249	1684
129	251	1679
130	252	1677
131	254	1672
132	255	1666
133	257	1661
134	258	1657
135	260	1652
136	261	1647
137	263	1645
138	264	1639
139	266	1634
140	267	1631
141	269	1627
142	271	1624
143	272	1619
144	274	1616
145	275	1610
146	277	1607
147	279	1611
148	281	1608
149	283	1604
150	284	1602
151	287	1602
152	288	1599
153	290	1596
154	292	1593
155	293	1589
156	295	1586
157	296	1582
158	298	1579
159	300	1577
160	301	1572
161	303	1568
162	304	1564
163	306	1561
164	308	1558
165	308	1551
166	310	1548
167	311	1544
168	313	1540
169	314	1536
170	316	1534
171	317	1530
172	319	1527
173	320	1522
174	322	1518
175	323	1516
176	325	1513
177	326	1509
178	328	1506
179	330	1504
180	331	1501
181	340	1532
182	347	1551
183	355	1574
184	357	1574
185	358	1570
186	360	1569
187	362	1566
188	364	1564
189	366	1563
190	368	1560
191	370	1557
192	376	1575
193	378	1573
194	380	1570
195	382	1566
196	383	1563
197	385	1559
198	386	1555
199	387	1551
200	388	1546
201	390	1540
202	391	1535
203	392	1530
204	393	1526
205	395	1523
206	396	1520
207	397	1515
208	398	1509
209	400	1507
210	402	1504
211	403	1499
212	404	1493
213	405	1490
214	406	1485
215	407	1480
216	409	1477
217	411	1475
218	412	1470
219	413	1466
220	415	1464
221	416	1461
222	418	1458
223	420	1455
224	421	1450
225	421	1444
226	422	1439
227	423	1435
